EST	EST Length	Query Start Position
Locus_49410_Transcript_1	4388	87
Locus_99539_Transcript_1	2373	318
Locus_99538_Transcript_1	2292	237
Locus_115297_Transcript_1	2285	2022
Locus_99535_Transcript_1	4268	2213
Locus_121993_Transcript_1	4235	61
Locus_97461_Transcript_1	1928	82
Locus_97460_Transcript_1	1809	82
Locus_96722_Transcript_1	2923	1895
Locus_96721_Transcript_1	1966	1895
Locus_4534_Transcript_1	2008	77
Locus_4535_Transcript_1	1987	52
Locus_4536_Transcript_1	2067	73
Locus_4537_Transcript_1	2086	73
Locus_122772_Transcript_1	3010	67
Locus_37768_Transcript_1	1975	814
Locus_37769_Transcript_1	1698	885
Locus_6968_Transcript_1	2551	65
Locus_8153_Transcript_1	3842	54
Locus_124956_Transcript_1	2657	41
Locus_113728_Transcript_1	2553	1100
Locus_79029_Transcript_1	2682	2492
Locus_79026_Transcript_1	9816	9536
Locus_79024_Transcript_1	10,630	10350
Locus_1557_Transcript_1	1274	1204
Locus_1556_Transcript_1	1359	1204
Locus_59497_Transcript_1	5454	1223
Locus_59498_Transcript_1	5549	1223
Locus_59499_Transcript_1	5633	1223
Locus_96055_Transcript_1	3346	145
Locus_96054_Transcript_1	2178	145
Locus_96056_Transcript_1	2197	145
Locus_63894_Transcript_1	1731	1608
Locus_63891_Transcript_1	1392	1269
Locus_63892_Transcript_1	1723	1608
Locus_121365_Transcript_1	1603	1501
Locus_126746_Transcript_1	4984	665
Locus_126747_Transcript_1	6128	665
Locus_41635_Transcript_1	1566	1154
Locus_41637_Transcript_1	1753	1341
Locus_41630_Transcript_1	1492	1026
Locus_64801_Transcript_1	910	675
Locus_64800_Transcript_1	729	675
Locus_82964_Transcript_1	2209	2083
Locus_82963_Transcript_1	2371	2120
Locus_119560_Transcript_1	2647	170
Locus_97654_Transcript_1	2947	611
Locus_97650_Transcript_1	1905	611
Locus_97651_Transcript_1	3152	611
Locus_97652_Transcript_1	2972	611
Locus_97653_Transcript_1	2972	611
Locus_17795_Transcript_1	2521	60
Locus_17794_Transcript_1	2519	60
Locus_17796_Transcript_1	3802	10
Locus_42753_Transcript_1	1493	345
Locus_42752_Transcript_1	3157	396
Locus_42751_Transcript_1	1820	59
Locus_42750_Transcript_1	1537	396
Locus_42757_Transcript_1	2815	724
Locus_42756_Transcript_1	2633	542
Locus_42755_Transcript_1	2995	724
Locus_42754_Transcript_1	1632	345
Locus_42758_Transcript_1	3243	1152
Locus_62695_Transcript_1	1439	115
Locus_62693_Transcript_1	3221	71
Locus_98717_Transcript_1	2510	116
Locus_98719_Transcript_1	4575	2181
Locus_57697_Transcript_1	2078	153
Locus_2171_Transcript_1	3415	106
Locus_104998_Transcript_1	3328	1871
Locus_104991_Transcript_1	1583	193
Locus_104990_Transcript_1	1674	175
Locus_39190_Transcript_1	585	518
Locus_46437_Transcript_1	772	77
Locus_46438_Transcript_1	812	77
Locus_46439_Transcript_1	875	77
Locus_111858_Transcript_1	1581	1527
Locus_102747_Transcript_1	3257	326
Locus_102740_Transcript_1	5513	326
Locus_102741_Transcript_1	5521	326
Locus_42221_Transcript_1	2877	1374
Locus_102748_Transcript_1	3238	326
Locus_102749_Transcript_1	2955	326
Locus_5351_Transcript_1	588	49
Locus_114543_Transcript_1	1249	1140
Locus_114545_Transcript_1	1795	1686
Locus_114544_Transcript_1	1997	1723
Locus_114547_Transcript_1	1820	1711
Locus_114549_Transcript_1	1211	1102
Locus_114548_Transcript_1	1736	1627
Locus_116946_Transcript_2	2320	186
Locus_21236_Transcript_1	4959	2239
Locus_21239_Transcript_1	3990	2239
Locus_21238_Transcript_1	4645	2239
Locus_72145_Transcript_1	1124	158
Locus_72144_Transcript_1	1156	158
Locus_51749_Transcript_1	2344	59
Locus_57897_Transcript_1	1074	989
Locus_769_Transcript_1	1519	105
Locus_769_Transcript_2	1661	105
Locus_769_Transcript_3	1569	105
Locus_769_Transcript_4	1427	105
Locus_47848_Transcript_1	3989	2156
Locus_47840_Transcript_1	5129	4862
Locus_47841_Transcript_1	5023	4756
Locus_47842_Transcript_1	6948	6681
Locus_47843_Transcript_1	6924	6657
Locus_47844_Transcript_1	3624	826
Locus_47845_Transcript_1	3925	1127
Locus_118227_Transcript_1	1011	335
Locus_122438_Transcript_1	3766	117
Locus_122439_Transcript_1	2026	1910
Locus_89676_Transcript_1	741	41
Locus_130292_Transcript_1	1963	282
Locus_102057_Transcript_1	4426	96
Locus_102058_Transcript_1	5762	96
Locus_102059_Transcript_1	3505	96
Locus_108421_Transcript_1	1884	614
Locus_100148_Transcript_1	6147	5995
Locus_108425_Transcript_1	4006	253
Locus_108424_Transcript_1	3144	220
Locus_104047_Transcript_1	1214	1161
Locus_5146_Transcript_1	1225	18
Locus_5145_Transcript_1	938	18
Locus_93876_Transcript_1	2765	1133
Locus_93878_Transcript_1	4886	964
Locus_93879_Transcript_1	3430	964
Locus_12649_Transcript_1	3315	1660
Locus_100144_Transcript_1	3296	3144
Locus_37154_Transcript_1	1568	1476
Locus_100145_Transcript_1	3539	3387
Locus_100146_Transcript_1	3745	3593
Locus_100147_Transcript_1	3485	3333
Locus_96218_Transcript_1	3050	1723
Locus_96217_Transcript_1	6184	1723
Locus_96211_Transcript_1	1925	13
Locus_124344_Transcript_1	2694	257
Locus_97944_Transcript_1	961	118
Locus_97945_Transcript_1	2321	118
Locus_50427_Transcript_1	1931	733
Locus_52868_Transcript_1	2562	1257
Locus_52869_Transcript_1	2708	1399
Locus_60916_Transcript_1	2650	2522
Locus_92895_Transcript_1	3282	2977
Locus_47421_Transcript_1	1638	1448
Locus_53127_Transcript_1	5260	4983
Locus_96370_Transcript_1	2400	2391
Locus_96371_Transcript_1	1663	132
Locus_96372_Transcript_1	3355	3346
Locus_96814_Transcript_1	2809	182
Locus_94908_Transcript_1	1813	301
Locus_33673_Transcript_1	1578	12
Locus_115247_Transcript_1	3660	3587
Locus_115247_Transcript_2	3490	3417
Locus_119996_Transcript_1	1007	560
Locus_103531_Transcript_1	2962	121
Locus_44920_Transcript_1	941	100
Locus_42148_Transcript_1	1216	878
Locus_42146_Transcript_1	1495	743
Locus_42147_Transcript_1	1258	920
Locus_42144_Transcript_1	974	866
Locus_42145_Transcript_1	1488	743
Locus_90111_Transcript_1	3057	2948
Locus_57898_Transcript_1	1002	917
Locus_57899_Transcript_1	1567	1482
Locus_26823_Transcript_1	9597	194
Locus_26826_Transcript_1	7529	2124
Locus_26825_Transcript_1	7568	2124
Locus_26824_Transcript_1	9558	194
Locus_1553_Transcript_1	1214	1144
Locus_1552_Transcript_1	1214	1144
Locus_1555_Transcript_1	1434	1204
Locus_1554_Transcript_1	2171	1204
Locus_59494_Transcript_1	1554	1223
Locus_59495_Transcript_1	1428	1355
Locus_126137_Transcript_1	4780	4725
Locus_26052_Transcript_1	1019	185
Locus_26051_Transcript_1	3052	185
Locus_72268_Transcript_1	1551	889
Locus_72269_Transcript_1	1678	1086
Locus_72264_Transcript_1	1573	1192
Locus_72266_Transcript_1	1673	968
Locus_72267_Transcript_1	1633	1164
Locus_34059_Transcript_1	8318	70
Locus_72262_Transcript_1	1691	1176
Locus_72263_Transcript_1	1505	990
Locus_54376_Transcript_1	6114	3042
Locus_94783_Transcript_1	3262	26
Locus_115330_Transcript_1	556	499
Locus_115330_Transcript_2	625	610
Locus_115330_Transcript_3	555	496
Locus_129504_Transcript_1	3779	3657
Locus_80848_Transcript_1	4726	4677
Locus_117529_Transcript_1	3465	136
Locus_119839_Transcript_1	844	793
Locus_81729_Transcript_1	10,708	1350
Locus_126268_Transcript_1	3206	3085
Locus_115294_Transcript_1	2203	1988
Locus_109411_Transcript_1	3074	2918
Locus_32929_Transcript_1	1591	118
Locus_32928_Transcript_1	1908	133
Locus_32928_Transcript_2	2007	133
Locus_51175_Transcript_1	2213	164
Locus_51174_Transcript_1	2203	164
Locus_74780_Transcript_1	4138	3988
Locus_74783_Transcript_1	4567	4417
Locus_74782_Transcript_1	4162	4012
Locus_51178_Transcript_1	2203	164
Locus_61262_Transcript_1	3230	3096
Locus_15371_Transcript_1	1701	65
Locus_16713_Transcript_1	1175	43
Locus_26493_Transcript_1	1521	1386
Locus_12061_Transcript_1	735	51
Locus_78081_Transcript_1	3328	2150
Locus_90389_Transcript_1	4698	126
Locus_90388_Transcript_1	6013	126
Locus_112140_Transcript_1	1478	141
Locus_28048_Transcript_1	1484	1453
Locus_82334_Transcript_1	3303	3015
Locus_56341_Transcript_1	513	454
Locus_56347_Transcript_1	529	470
Locus_56346_Transcript_1	4432	1950
Locus_91022_Transcript_1	2800	175
Locus_3941_Transcript_1	5150	119
Locus_3941_Transcript_2	5586	119
Locus_3941_Transcript_3	5622	119
Locus_3944_Transcript_1	10,122	119
Locus_3945_Transcript_1	5052	119
Locus_3946_Transcript_1	5483	119
Locus_51177_Transcript_1	1793	150
Locus_51176_Transcript_1	2199	150
Locus_93388_Transcript_1	7718	318
Locus_84081_Transcript_1	3722	6
Locus_84080_Transcript_1	3749	6
Locus_84083_Transcript_1	3754	6
Locus_84082_Transcript_1	3630	6
Locus_84085_Transcript_1	4257	6
Locus_84084_Transcript_1	4227	6
Locus_7111_Transcript_1	2479	2410
Locus_7118_Transcript_1	1926	1086
Locus_109150_Transcript_1	2282	7
Locus_109151_Transcript_1	2238	7
Locus_38279_Transcript_1	617	548
Locus_97757_Transcript_1	574	497
Locus_97756_Transcript_1	1475	497
Locus_64743_Transcript_1	3130	2947
Locus_9107_Transcript_1	2103	127
Locus_49723_Transcript_1	3050	2972
Locus_54040_Transcript_1	2807	1276
Locus_102125_Transcript_1	8184	6961
Locus_102126_Transcript_1	2578	1355
Locus_102127_Transcript_1	2494	1271
Locus_102128_Transcript_1	2468	1245
Locus_102129_Transcript_1	4010	2787
Locus_111865_Transcript_1	1589	1527
Locus_122648_Transcript_1	837	677
Locus_122648_Transcript_2	907	747
Locus_122648_Transcript_3	871	711
Locus_101638_Transcript_1	5034	4265
Locus_16866_Transcript_2	906	633
Locus_54365_Transcript_1	3272	83
Locus_54364_Transcript_1	3195	14
Locus_54361_Transcript_1	3254	107
Locus_54360_Transcript_1	3179	107
Locus_54363_Transcript_1	3322	92
Locus_54362_Transcript_1	3247	92
Locus_61194_Transcript_1	4823	4798
Locus_61195_Transcript_1	4844	4819
Locus_61192_Transcript_1	4613	4588
Locus_61193_Transcript_1	4861	4836
Locus_61190_Transcript_1	4800	4785
Locus_61191_Transcript_1	4630	4605
Locus_104575_Transcript_1	1583	1424
Locus_108221_Transcript_1	3269	1765
Locus_40518_Transcript_1	1445	1383
Locus_42021_Transcript_1	1092	1038
Locus_42023_Transcript_1	1354	422
Locus_94829_Transcript_1	1329	293
Locus_16121_Transcript_1	3047	2982
Locus_16122_Transcript_1	3397	3332
Locus_120706_Transcript_1	1483	48
Locus_120706_Transcript_2	1494	48
Locus_17294_Transcript_1	674	557
Locus_90387_Transcript_1	4575	126
Locus_26736_Transcript_1	1741	87
Locus_50273_Transcript_1	2056	203
Locus_50272_Transcript_1	1993	1791
Locus_50270_Transcript_1	2074	1872
Locus_59496_Transcript_1	4584	1223
Locus_70741_Transcript_1	2732	2379
Locus_70743_Transcript_1	2178	1825
Locus_70742_Transcript_1	2813	2375
Locus_38763_Transcript_1	1965	483
Locus_38762_Transcript_1	1364	154
Locus_38761_Transcript_1	1768	246
Locus_17272_Transcript_1	1092	49
Locus_35870_Transcript_1	4439	4349
Locus_11906_Transcript_1	1313	146
Locus_11905_Transcript_1	1308	146
Locus_120719_Transcript_1	1941	80
Locus_120718_Transcript_1	4995	14
Locus_124872_Transcript_1	1124	1017
Locus_124871_Transcript_1	1142	888
Locus_49443_Transcript_1	3086	79
Locus_49444_Transcript_1	3039	79
Locus_32636_Transcript_1	1838	75
Locus_128562_Transcript_1	718	101
Locus_103527_Transcript_1	2240	104
Locus_130961_Transcript_1	4648	166
Locus_71314_Transcript_1	8631	8358
Locus_15209_Transcript_1	2655	63
Locus_106732_Transcript_1	3670	3647
Locus_13206_Transcript_1	6111	161
Locus_111696_Transcript_1	1429	79
Locus_29400_Transcript_1	2713	588
Locus_29401_Transcript_1	651	588
Locus_111698_Transcript_1	2914	2836
Locus_87788_Transcript_1	2592	1947
Locus_99481_Transcript_1	4240	839
Locus_79895_Transcript_1	2029	1919
Locus_57588_Transcript_1	1258	1155
Locus_57589_Transcript_1	1372	1155
Locus_57586_Transcript_1	2652	2549
Locus_50265_Transcript_1	1475	1371
Locus_50266_Transcript_1	1454	1350
Locus_66315_Transcript_1	6999	275
Locus_37843_Transcript_1	3453	32
Locus_37842_Transcript_1	3397	32
Locus_37841_Transcript_1	4230	32
Locus_37840_Transcript_1	4195	32
Locus_37847_Transcript_1	5042	32
Locus_37846_Transcript_1	2092	32
Locus_37845_Transcript_1	1261	32
Locus_37844_Transcript_1	3441	32
Locus_37849_Transcript_1	4207	32
Locus_37848_Transcript_1	4251	32
Locus_25812_Transcript_1	2037	1592
Locus_25811_Transcript_1	1802	1592
Locus_86938_Transcript_1	3698	3525
Locus_39885_Transcript_1	2533	157
Locus_39884_Transcript_1	2597	157
Locus_39883_Transcript_1	2558	157
Locus_102310_Transcript_1	5094	25
Locus_40534_Transcript_1	1376	1314
Locus_40537_Transcript_1	1376	1314
Locus_40532_Transcript_1	1376	1314
Locus_9217_Transcript_1	2259	32
Locus_23544_Transcript_1	2321	68
Locus_26219_Transcript_1	2619	119
Locus_21975_Transcript_1	3118	3103
Locus_15728_Transcript_2	749	719
Locus_3942_Transcript_1	892	12
Locus_130991_Transcript_1	2563	1055
Locus_130992_Transcript_1	2558	1119
Locus_101877_Transcript_1	2311	2108
Locus_7392_Transcript_1	2586	79
Locus_7392_Transcript_2	2628	79
Locus_7399_Transcript_1	2601	79
Locus_84016_Transcript_1	2386	2301
Locus_17800_Transcript_1	3882	1419
Locus_82696_Transcript_1	3215	1541
Locus_82697_Transcript_1	3872	1823
Locus_82695_Transcript_1	6012	1541
Locus_82698_Transcript_1	3880	1823
Locus_82699_Transcript_1	3497	1823
Locus_97783_Transcript_1	4479	2118
Locus_97788_Transcript_1	2943	582
Locus_2498_Transcript_1	751	73
Locus_2498_Transcript_2	685	73
Locus_2498_Transcript_3	700	73
Locus_17027_Transcript_1	2538	1259
Locus_17026_Transcript_1	2603	1324
Locus_17024_Transcript_1	2606	1476
Locus_17029_Transcript_1	2663	1259
Locus_17028_Transcript_1	2728	1324
Locus_20537_Transcript_1	1999	1874
Locus_20536_Transcript_1	2152	2057
Locus_34361_Transcript_1	1462	1407
Locus_72118_Transcript_1	746	684
Locus_72119_Transcript_1	771	375
Locus_84126_Transcript_1	553	443
Locus_84127_Transcript_1	553	447
Locus_84124_Transcript_1	498	443
Locus_84125_Transcript_1	549	443
Locus_84128_Transcript_1	502	447
Locus_84129_Transcript_1	1144	593
Locus_75052_Transcript_1	2651	2596
Locus_14627_Transcript_1	2027	75
Locus_14628_Transcript_1	2027	75
Locus_88569_Transcript_1	3268	2259
Locus_19705_Transcript_1	4286	141
Locus_19705_Transcript_2	4466	141
Locus_19703_Transcript_1	1974	1833
Locus_19703_Transcript_2	1764	1623
Locus_19703_Transcript_3	1778	1637
Locus_80106_Transcript_1	2999	1364
Locus_20084_Transcript_1	2257	2245
Locus_51825_Transcript_1	2869	274
Locus_78641_Transcript_1	2687	2399
Locus_92537_Transcript_1	6462	199
Locus_102742_Transcript_1	5479	326
Locus_33508_Transcript_1	1900	1820
Locus_49525_Transcript_1	2825	2747
Locus_49524_Transcript_1	3079	3001
Locus_124390_Transcript_1	1106	101
Locus_48690_Transcript_1	1232	334
Locus_48691_Transcript_1	1218	330
Locus_48697_Transcript_1	3052	98
Locus_50458_Transcript_1	3225	2337
Locus_50457_Transcript_1	3242	2344
Locus_50456_Transcript_1	4545	3647
Locus_50454_Transcript_1	4587	3702
Locus_50453_Transcript_1	4619	3721
Locus_126139_Transcript_1	5804	5749
Locus_26520_Transcript_1	3551	2379
Locus_26521_Transcript_1	2422	2294
Locus_26524_Transcript_1	2597	2469
Locus_104584_Transcript_1	1463	1145
Locus_104586_Transcript_1	1320	1240
Locus_104581_Transcript_1	1314	1145
Locus_104582_Transcript_1	1317	1145
Locus_65221_Transcript_1	3913	1567
Locus_65223_Transcript_1	3895	1567
Locus_65224_Transcript_1	3875	1570
Locus_65226_Transcript_1	2214	1567
Locus_65227_Transcript_1	3937	1567
Locus_65228_Transcript_1	3919	1567
Locus_65229_Transcript_1	2052	1567
Locus_87794_Transcript_1	2411	1851
Locus_9718_Transcript_1	2691	2623
Locus_106519_Transcript_1	5521	111
Locus_106518_Transcript_1	2984	114
Locus_106517_Transcript_1	5029	138
Locus_106516_Transcript_1	2552	138
Locus_120604_Transcript_1	3613	1733
Locus_120609_Transcript_1	10,503	9101
Locus_70794_Transcript_1	2608	365
Locus_49724_Transcript_1	3489	3411
Locus_44953_Transcript_1	1304	1107
Locus_44951_Transcript_1	1304	1107
Locus_97979_Transcript_1	1497	149
Locus_95419_Transcript_1	712	637
Locus_44544_Transcript_1	1496	56
Locus_44545_Transcript_1	2134	56
Locus_84454_Transcript_1	2336	1879
Locus_28444_Transcript_1	1342	970
Locus_28443_Transcript_1	1646	970
Locus_79769_Transcript_1	625	439
Locus_79760_Transcript_1	2965	2713
Locus_79763_Transcript_1	621	435
Locus_79764_Transcript_1	506	435
Locus_79765_Transcript_1	587	435
Locus_79766_Transcript_1	510	439
Locus_79767_Transcript_1	591	439
Locus_124665_Transcript_1	5234	5228
Locus_1309_Transcript_1	1580	671
Locus_59243_Transcript_1	3035	111
Locus_59245_Transcript_1	3142	111
Locus_59244_Transcript_1	3122	111
Locus_59247_Transcript_1	3018	111
Locus_59246_Transcript_1	2926	111
Locus_114615_Transcript_1	5182	12
Locus_114614_Transcript_1	7716	12
Locus_114613_Transcript_1	5478	12
Locus_102827_Transcript_1	822	124
Locus_102826_Transcript_1	887	75
Locus_121262_Transcript_1	4066	1306
Locus_118527_Transcript_2	607	91
Locus_6906_Transcript_1	3658	231
Locus_6906_Transcript_2	3848	231
Locus_6906_Transcript_3	3786	231
Locus_6906_Transcript_4	3625	231
Locus_50177_Transcript_1	3170	2882
Locus_102737_Transcript_1	5324	326
Locus_79045_Transcript_1	4608	4559
Locus_79044_Transcript_1	4646	4597
Locus_79043_Transcript_1	4913	4864
Locus_710_Transcript_1	3241	61
Locus_75489_Transcript_1	3615	2458
Locus_75488_Transcript_1	3658	2501
Locus_75483_Transcript_1	6396	6164
Locus_75487_Transcript_1	4093	2458
Locus_37451_Transcript_1	848	103
Locus_37452_Transcript_1	801	56
Locus_106104_Transcript_1	2378	2228
Locus_126251_Transcript_1	3227	2634
Locus_126251_Transcript_2	3253	2660
Locus_126251_Transcript_3	2810	2634
Locus_103059_Transcript_1	1304	1107
Locus_103057_Transcript_1	1472	1107
Locus_103056_Transcript_1	1136	1012
Locus_102874_Transcript_1	6429	6222
Locus_115908_Transcript_1	2813	102
Locus_359_Transcript_1	1574	86
Locus_64865_Transcript_1	3020	2661
Locus_64864_Transcript_1	3232	2873
Locus_64860_Transcript_1	3421	3062
Locus_64863_Transcript_1	2785	2426
Locus_64862_Transcript_1	2997	2638
Locus_77385_Transcript_1	4141	280
Locus_77389_Transcript_1	5237	1123
Locus_27174_Transcript_1	7669	4325
Locus_27172_Transcript_1	5698	2244
Locus_27170_Transcript_1	5653	2244
Locus_27171_Transcript_1	5591	2244
Locus_118436_Transcript_1	1009	120
Locus_118436_Transcript_2	878	120
Locus_53977_Transcript_1	3253	3143
Locus_53976_Transcript_1	3287	3177
Locus_39171_Transcript_1	2862	931
Locus_39170_Transcript_1	1698	1050
Locus_39173_Transcript_1	1301	1093
Locus_39175_Transcript_1	1295	1093
Locus_39177_Transcript_1	688	132
Locus_39176_Transcript_1	1448	1259
Locus_46490_Transcript_1	3516	184
Locus_46491_Transcript_1	4612	184
Locus_111860_Transcript_1	1580	1527
Locus_118922_Transcript_1	576	82
Locus_118920_Transcript_1	2622	62
Locus_102771_Transcript_1	5246	326
Locus_102770_Transcript_1	5110	326
Locus_102772_Transcript_1	5226	326
Locus_102774_Transcript_1	3171	326
Locus_109384_Transcript_1	13,677	13366
Locus_11024_Transcript_1	3304	156
Locus_11023_Transcript_1	1811	166
Locus_109382_Transcript_1	1992	1681
Locus_56219_Transcript_1	2476	2379
Locus_56218_Transcript_1	2694	2597
Locus_56213_Transcript_1	2718	2621
Locus_56210_Transcript_1	2960	2604
Locus_56216_Transcript_1	2932	2580
Locus_56215_Transcript_1	3107	2755
Locus_56214_Transcript_1	2614	2517
Locus_126927_Transcript_1	893	77
Locus_16347_Transcript_1	762	233
Locus_16342_Transcript_1	509	450
Locus_76994_Transcript_1	1157	344
Locus_76995_Transcript_1	3065	344
Locus_76992_Transcript_1	2551	344
Locus_76993_Transcript_1	1589	344
Locus_76991_Transcript_1	2036	83
Locus_100154_Transcript_1	3185	3033
Locus_100151_Transcript_1	3767	3615
Locus_100150_Transcript_1	3717	3565
Locus_100159_Transcript_1	3213	3061
Locus_100158_Transcript_1	4009	3857
Locus_22727_Transcript_1	1256	1187
Locus_85280_Transcript_1	1478	1376
Locus_85281_Transcript_1	1546	1376
Locus_85282_Transcript_1	5883	412
Locus_70963_Transcript_1	2548	183
Locus_127820_Transcript_1	2258	9
Locus_127822_Transcript_1	2277	9
Locus_96332_Transcript_1	4301	80
Locus_96333_Transcript_1	4319	80
Locus_96334_Transcript_1	4415	80
Locus_96335_Transcript_1	4428	80
Locus_82718_Transcript_1	2535	588
Locus_69332_Transcript_1	4201	146
Locus_69333_Transcript_1	4157	146
Locus_69330_Transcript_1	4470	146
Locus_69331_Transcript_1	4492	146
Locus_80715_Transcript_1	3809	3693
Locus_7829_Transcript_1	878	813
Locus_58142_Transcript_1	1008	53
Locus_48580_Transcript_1	1527	108
Locus_104690_Transcript_1	1302	43
Locus_104694_Transcript_1	2872	2572
Locus_104695_Transcript_1	4977	20
Locus_85741_Transcript_1	1451	71
Locus_44829_Transcript_1	5755	5477
Locus_100650_Transcript_1	9082	9046
Locus_96270_Transcript_1	4325	4225
Locus_89305_Transcript_1	1625	1493
Locus_89308_Transcript_1	1472	1340
Locus_60501_Transcript_1	2545	2540
Locus_11683_Transcript_1	2680	41
Locus_64355_Transcript_1	2831	1423
Locus_64354_Transcript_1	2887	1423
Locus_64353_Transcript_1	1544	107
Locus_64352_Transcript_1	1873	230
Locus_64351_Transcript_1	1668	230
Locus_64350_Transcript_1	1490	52
Locus_123470_Transcript_1	2130	140
Locus_102574_Transcript_1	6632	393
Locus_32164_Transcript_1	1404	1165
Locus_32164_Transcript_2	1450	1211
Locus_57368_Transcript_1	8775	8239
Locus_127816_Transcript_1	2273	2265
Locus_47458_Transcript_1	3069	3006
Locus_47453_Transcript_1	891	459
Locus_111029_Transcript_1	4010	92
Locus_103840_Transcript_1	4942	418
Locus_122410_Transcript_1	594	16
Locus_102231_Transcript_1	981	910
Locus_15980_Transcript_1	1583	1546
Locus_102232_Transcript_1	981	910
Locus_88757_Transcript_1	1773	1685
Locus_19536_Transcript_1	3593	126
Locus_19536_Transcript_2	3678	126
Locus_19536_Transcript_3	3747	126
Locus_2352_Transcript_1	1253	1137
Locus_2353_Transcript_1	1615	1499
Locus_2350_Transcript_1	6380	408
Locus_2351_Transcript_1	3327	408
Locus_81060_Transcript_1	2273	147
Locus_81061_Transcript_1	4145	3961
Locus_81064_Transcript_1	2540	2394
Locus_81065_Transcript_1	2578	2394
Locus_9695_Transcript_1	1541	1471
Locus_48746_Transcript_1	2104	44
Locus_48747_Transcript_1	2013	44
Locus_30855_Transcript_1	2377	2216
Locus_30855_Transcript_2	2092	1931
Locus_1537_Transcript_1	1581	1379
Locus_1536_Transcript_1	1494	1433
Locus_29225_Transcript_1	2284	2229
Locus_35570_Transcript_1	936	798
Locus_111701_Transcript_1	2622	2544
Locus_111702_Transcript_1	2573	2495
Locus_128534_Transcript_2	1342	103
Locus_128534_Transcript_3	1099	11
Locus_119133_Transcript_1	609	488
Locus_119132_Transcript_1	784	488
Locus_119131_Transcript_1	657	488
Locus_119130_Transcript_1	551	459
Locus_119137_Transcript_1	652	531
Locus_119136_Transcript_1	598	477
Locus_113361_Transcript_1	5786	4363
Locus_113362_Transcript_1	4885	4229
Locus_113364_Transcript_1	5768	4345
Locus_113366_Transcript_1	4864	4208
Locus_76611_Transcript_1	1525	1446
Locus_76610_Transcript_1	1417	1394
Locus_76615_Transcript_1	1655	1632
Locus_100327_Transcript_1	1050	502
Locus_87541_Transcript_1	2596	2013
Locus_87540_Transcript_1	2596	2013
Locus_87543_Transcript_1	2101	2013
Locus_87542_Transcript_1	2101	2013
Locus_87545_Transcript_1	2523	2013
Locus_87544_Transcript_1	2284	2013
Locus_87547_Transcript_1	2288	1778
Locus_87546_Transcript_1	2436	2010
Locus_46629_Transcript_1	2874	2866
Locus_17675_Transcript_3	3617	3464
Locus_17675_Transcript_4	3896	3743
Locus_17675_Transcript_5	3678	3525
Locus_17675_Transcript_6	3751	3598
Locus_17675_Transcript_7	3690	3537
Locus_17675_Transcript_8	3969	3816
Locus_101565_Transcript_1	9941	1263
Locus_17166_Transcript_1	2482	2349
Locus_129198_Transcript_1	7752	73
Locus_41106_Transcript_1	1575	642
Locus_41105_Transcript_1	1462	496
Locus_41109_Transcript_1	3241	146
Locus_44083_Transcript_1	1295	1243
Locus_937_Transcript_1	1476	1416
Locus_117488_Transcript_1	1258	122
Locus_2676_Transcript_1	7499	22
Locus_61202_Transcript_1	2951	2814
Locus_61203_Transcript_1	2983	2715
Locus_61201_Transcript_1	2548	2280
Locus_108_Transcript_1	3272	3014
Locus_109_Transcript_1	3438	3180
Locus_107_Transcript_1	3793	3535
Locus_36336_Transcript_1	4275	2371
Locus_36332_Transcript_1	2579	1410
Locus_107548_Transcript_1	3326	68
Locus_92939_Transcript_1	2660	1438
Locus_92515_Transcript_1	1898	910
Locus_19387_Transcript_1	4275	4270
Locus_92510_Transcript_1	2678	126
Locus_92513_Transcript_1	2548	39
Locus_103485_Transcript_1	2309	698
Locus_80588_Transcript_1	2374	97
Locus_80580_Transcript_1	4023	97
Locus_80586_Transcript_1	1757	97
Locus_80587_Transcript_1	1736	97
Locus_103486_Transcript_1	786	698
Locus_26485_Transcript_1	2863	148
Locus_103487_Transcript_1	800	698
Locus_76627_Transcript_1	1434	1411
Locus_44781_Transcript_1	3960	215
Locus_103482_Transcript_1	1590	531
Locus_103483_Transcript_1	631	570
Locus_14879_Transcript_1	2113	85
Locus_54187_Transcript_1	2018	487
Locus_26154_Transcript_1	2290	353
Locus_114452_Transcript_1	1536	138
Locus_3751_Transcript_1	2349	243
Locus_3750_Transcript_1	1844	243
Locus_3753_Transcript_1	1946	243
Locus_3752_Transcript_1	1578	243
Locus_3755_Transcript_1	2417	816
Locus_3754_Transcript_1	1263	243
Locus_3756_Transcript_1	2381	816
Locus_2735_Transcript_1	1511	54
Locus_53573_Transcript_1	2112	105
Locus_78638_Transcript_1	1922	1714
Locus_53575_Transcript_1	2168	105
Locus_53574_Transcript_1	1842	105
Locus_53577_Transcript_1	1862	105
Locus_53576_Transcript_1	2132	105
Locus_32911_Transcript_1	2657	2580
Locus_101736_Transcript_1	7913	7630
Locus_124128_Transcript_1	3329	124
Locus_124125_Transcript_1	2844	124
Locus_112139_Transcript_1	1454	141
Locus_44237_Transcript_1	1576	1434
Locus_44239_Transcript_1	1619	1477
Locus_65053_Transcript_1	3603	3119
Locus_65052_Transcript_1	3678	3194
Locus_65054_Transcript_1	3606	3122
Locus_99559_Transcript_1	5817	3657
Locus_99558_Transcript_1	6383	4223
Locus_53553_Transcript_1	2531	641
Locus_67893_Transcript_1	2344	2244
Locus_67894_Transcript_1	2383	2283
